Compound1,Compound2,CAS1,CAS2,MF_mean,MF_std,Temp_mean,Temp_std
"1,2-diphenylbenzene",tetrachloromethane,84-15-1,56-23-5,0.7400599999999999,0.10982969725898362,40.13,7.486093774459414
"1,3-diphenylbenzene",cyclohexane,92-06-8,110-82-7,0.22458,0.09434683672492682,51.010000000000005,7.68910918117307
"1,3-diphenylbenzene",benzene,92-06-8,71-43-2,0.5742166666666667,0.1947497831977113,60.666666666666664,14.542628907991691
"1,3-diphenylbenzene",tetrachloromethane,92-06-8,56-23-5,0.316,0.08669593416072058,52.5,11.645922033055175
"1,4-diphenylbenzene",benzene,92-94-4,71-43-2,0.017759999999999998,0.006754139471464889,61.65,13.13499143509428
acetonitrile,water,75-05-8,7732-18-5,0.2194285714285714,0.041596212543441785,-5.078571428571428,2.9571773634977787
acetonitrile,carbon disulfide,75-05-8,75-15-0,23.93203846153846,82.00340833405869,48.6,1.7320508075688772
acetonitrile,caesium chloride,75-05-8,7647-17-8,0.01755,0.011442428355321551,28.333333333333332,12.801909579781013
acetonitrile,potassium iodide,75-05-8,7681-11-0,0.004755714285714286,0.0005375036782028869,33.57142857142857,16.19397721250662
diethylamine,water,109-89-7,7732-18-5,0.0772,0.033705446783229905,147.5,3.8832975677895165
dimethylethylamine,water,598-56-1,7732-18-5,0.09266666666666667,0.032499572646762946,100.7,1.2192894105447973
ethylpropylamine,water,20193-20-8,7732-18-5,0.02692,0.015619086614353178,60.0,11.150485789118488
"N,N-dimethylamine",water,616-39-7,7732-18-5,0.0642857142857143,0.025183408856480356,50.13142857142857,1.0104373674154106
methylbutylamine,water,110-68-9,7732-18-5,0.01471142857142857,0.007306762872399062,62.42857142857143,16.918773535903355
1-methylbutylamine,water,625-30-9,7732-18-5,0.030574999999999998,0.009179426725019379,88.5,1.118033988749895
1-ethylpropylamine,water,616-24-0,7732-18-5,0.022066666666666665,0.0074381150539337285,73.0,9.146948489341495
diallylamine,water,124-02-7,7732-18-5,0.02090181818181818,0.01605475506915563,42.18181818181818,28.647761079638197
cyclohexylamine,water,108-91-8,7732-18-5,0.0035,0.0,60.0,0.0
N-ethylmethylallylamine,water,18328-90-0,7732-18-5,0.010434444444444444,0.00788428832990878,50.955555555555556,24.44436363623007
hexamethylimine,water,111-49-9,7732-18-5,0.019314,0.014028407274764539,144.32666666666668,55.801319777303554
1-methylpiperidine,water,626-67-5,7732-18-5,0.029002857142857143,0.024035422498759566,86.38571428571429,62.7992476882015
2-methylpiperidine,water,109-05-7,7732-18-5,0.01948235294117647,0.006566334396361816,76.58333333333333,14.817641512737442
3-methylpiperidine,water,626-56-2,7732-18-5,0.06439166666666667,0.1184603833800801,116.58181818181816,67.77387292489392
4-methylpiperidine,water,626-58-4,7732-18-5,0.03332666666666666,0.017098088262207045,114.3,39.683387582211274
butyldimethylamine,water,927-62-8,7732-18-5,0.00506,0.004715494768217955,41.800000000000004,29.124809792589982
tert-butyldimethylamine,water,918-02-5,7732-18-5,0.0128,0.0,49.0,0.0
ethylbutylamine,water,13360-63-9,7732-18-5,0.009551111111111113,0.014627870236446624,46.75,26.365024179772718
sec-butylethylamine,water,21035-44-9,7732-18-5,0.01186666666666667,0.0033089105289942316,31.666666666666668,6.236095644623235
tert-butylethylamine,water,4432-77-3,7732-18-5,0.0198,0.0,40.0,0.0
diisopropylamine,water,108-18-9,7732-18-5,0.01293111111111111,0.010951048092351146,51.97777777777778,21.318837667803862
dipropylamine,water,108-18-9,7732-18-5,0.01168470588235294,0.012578252996458077,34.55294117647059,29.09968905528351
hexylamine,water,111-26-2,7732-18-5,0.0016128571428571429,0.00011208597283390303,60.0,20.0
triethylamine,water,121-44-8,7732-18-5,0.020370625,0.014974721812420256,29.38125,14.861620821347179
acenaphthene,hexane,83-32-9,110-54-3,0.05192,0.0,25.0,0.0
acenaphthene,octane,83-32-9,111-65-9,0.06826,0.0,25.0,0.0
acenaphthene,nonane,83-32-9,111-84-2,0.0721,0.0,25.0,0.0
acenaphthene,decane,83-32-9,124-18-5,0.07852,0.0,25.0,0.0
acenaphthene,undecane,93-32-9,1120-21-4,0.08355,0.0,25.0,0.0
acenaphthene,dodecane,83-32-9,112-40-3,0.08799,0.0,25.0,0.0
acenaphthene,hexadecane,83-32-9,544-76-3,0.1065,0.0,25.0,0.0
acenaphthene,cyclohexane,83-32-9,110-82-7,0.07043,0.0,25.0,0.0
acenaphthene,methylcyclohexane,83-32-9,108-87-2,0.08093,0.0,25.0,0.0
aenaphthene,cyclooctane,83-32-9,292-64-8,0.09739,0.0,25.0,0.0
acenaphthene,"2,2,4-trimethylpentane",83-32-9,540-84-1,0.04668,0.0,25.0,0.0
acenaphthene,tert-butylcyclohexane,83-32-9,3178-22-1,0.07763,0.0,25.0,0.0
acenaphthene,squalane,83-32-9,111-01-3,0.1428,0.0,25.0,0.0
acenaphthene,methylbenzene,83-32-9,108-88-8,0.22508,0.09354642483815188,24.59363636363636,16.494550765591576
acenaphthene,methyl ethanoate,83-32-9,79-20-9,0.071,0.0,25.0,0.0
acenaphthene,ethyl ethanoate,83-32-9,141-78-6,0.1086,0.0,25.0,0.0
acenaphthene,butyl ethanoate,83-32-9,123-86-4,0.137,0.0,25.0,0.0
acenaphthene,"1,1'oxybisethane",83-32-9,60-29-7,0.1019,0.0,25.0,0.0
acenaphthene,"2,2'-oxybispropane",83-32-9,108-20-3,0.08505,0.0,25.0,0.0
acenaphthene,"1,1'-oxybisbutane",83-32-9,142-96-1,0.1116,0.0,25.0,0.0
acenaphthene,2-methoxy-2-methylpropane,83-32-9,1634-04-4,0.0919,0.0,25.0,0.0
acenaphthene,tetrahydrofuran,83-32-9,109-99-9,0.1973,0.0,25.0,0.0
acenaphthene,"1,4-dioxane",83-32-9,123-91-1,0.1415,0.0,25.0,0.0
acenaphthene,trichloromethane,83-32-9,67-66-3,0.2713888888888889,0.08428431308433834,36.08888888888888,11.913805665365652
ethene,pentane,74-85-1,109-66-0,0.01528,0.0,25.0,0.0
ethene,hexane,74-85-1,110-54-3,0.01592,0.0,25.0,0.0
ethene,"2,2'-Dimethylbutane ",74-85-1,75-83-2,0.07506,0.0,15.0,0.0
